,target,patent_num_claims,detail_desc_length,patent_processing_time,patent_num_us_application_citations,patent_firstnamed_assignee_longitude,patent_year
0,1,21,149708.0,538,102,-122.269,2018
1,1,6,30232.0,628,2,138.687,2018
2,1,19,62615.0,943,18,-73.714,2018
3,1,14,20517.0,775,7,-73.714,2018
4,0,30,33379.0,145,2,-97.7437,2018
5,1,4,32981.0,649,3,138.687,2018
6,0,20,10986.0,482,10,139.74,2018
7,1,19,44078.0,1089,10,-73.714,2018
8,1,20,28604.0,1306,21,-122.124,2018
9,1,25,48686.0,658,5,-121.955,2018
10,1,21,36944.0,1098,11,-83.7312,2018
11,0,20,26725.0,483,4,-122.16,2018
12,1,15,34468.0,1303,8,-73.714,2018
13,0,18,62833.0,523,2,-91.6704,2018
14,1,20,19060.0,1406,13,-87.8445,2018
15,0,20,37845.0,362,9,11.0038,2018
16,0,20,44198.0,412,2,-74.4426,2018
17,1,14,65636.0,1344,14,-73.714,2018
18,1,42,386657.0,484,46,-74.006,2018
19,1,20,38035.0,438,5,11.0038,2018
20,0,20,70303.0,168,11,-77.1776,2018
21,1,17,21181.0,704,11,127.385,2018
22,1,21,149708.0,594,103,-122.269,2018
23,1,28,101002.0,1225,6,-117.163,2018
24,1,7,31234.0,715,4,34.8469,2018
25,0,22,40614.0,1789,30,-122.33,2018
26,1,21,41387.0,445,45,139.759,2018
27,1,1,46677.0,155,5,-73.714,2018
28,1,22,56533.0,768,10,-81.2374,2018
29,0,24,79934.0,309,3,-122.16,2018
30,0,17,97474.0,468,1,5.47863,2018
31,1,3,19295.0,704,4,138.687,2018
32,0,21,93747.0,333,6,-77.1929,2018
33,1,27,54841.0,349,4,-71.1056,2018
34,0,15,34171.0,1720,3,-122.083,2018
35,0,21,69488.0,426,5,-95.3677,2018
36,1,21,57910.0,595,120,-121.891,2018
37,1,19,56865.0,1055,10,-121.891,2018
38,1,1,46677.0,169,5,-73.714,2018
39,1,6,65637.0,924,14,-73.714,2018
40,1,19,122907.0,1359,7,-121.891,2018
41,1,20,58712.0,1367,13,-122.124,2018
42,1,20,37683.0,1264,9,10.3846,2018
43,1,20,71364.0,439,54,-71.2361,2018
44,1,20,95041.0,825,5,-122.42,2018
45,0,20,51725.0,218,10,-104.988,2018
46,1,30,58105.0,269,12,-71.0583,2018
47,1,6,24377.0,727,3,138.687,2018
48,0,19,42062.0,371,14,-121.907,2018
49,1,18,33772.0,666,5,-105.037,2018
50,1,19,35637.0,622,130,-121.891,2018
51,1,20,51204.0,1069,1,-122.16,2018
52,1,10,75714.0,2693,102,-95.4173,2018
53,1,25,49509.0,1558,10,-121.955,2018
54,1,14,65039.0,1300,7,-74.006,2018
55,1,11,71416.0,721,11,138.687,2018
56,1,13,52756.0,718,5,138.687,2018
57,1,20,29215.0,853,82,-121.891,2018
58,1,20,91351.0,363,1,-122.178,2018
59,1,17,31184.0,1111,10,-73.714,2018
60,1,20,84338.0,334,29,-122.42,2018
61,0,20,48499.0,876,6,-122.33,2018
62,1,16,34171.0,1044,3,-73.714,2018
63,1,16,97666.0,963,3,-122.531,2018
64,0,19,36993.0,410,18,-121.907,2018
65,1,21,91479.0,3057,2,-86.1583,2018
66,1,22,152898.0,1569,51,-119.813,2018
67,1,9,36292.0,749,3,138.687,2018
68,0,16,72560.0,873,6,-122.178,2018
69,0,12,32374.0,866,5,-74.006,2018
70,1,18,35490.0,1083,6,142.467,2018
71,0,19,71746.0,400,8,-95.3677,2018
72,0,24,82325.0,319,64,-87.2627,2018
73,0,20,42389.0,334,4,-87.6244,2018
74,1,32,29202.0,608,6,11.0038,2018
75,1,11,40064.0,1475,29,-73.714,2018
76,1,20,39812.0,811,16,-74.006,2018
77,1,42,83379.0,874,9,-118.144,2018
78,1,10,27659.0,998,7,138.687,2018
79,1,10,34549.0,777,9,-122.42,2018
80,1,4,40061.0,1302,29,-73.714,2018
81,1,19,136235.0,1070,25,-122.42,2018
82,1,29,150378.0,445,0,-78.7812,2018
83,1,20,53405.0,1491,1,-122.124,2018
84,1,20,53203.0,782,5,-122.178,2018
85,1,8,42024.0,895,9,-73.714,2018
86,1,12,35742.0,844,350,-122.192,2018
87,1,13,33445.0,1006,5,138.687,2018
88,1,15,71660.0,1030,4,-73.714,2018
89,0,20,91787.0,417,1,-87.8265,2018
90,1,7,46139.0,1043,16,-73.714,2018
91,1,31,116043.0,775,46,-122.083,2018
92,0,18,88748.0,264,30,-77.1776,2018
93,0,20,25267.0,551,3,-122.16,2018
94,1,18,17351.0,1079,13,-73.714,2018
95,1,20,76248.0,929,60,127.029,2018
96,0,25,55732.0,1546,42,-122.083,2018
97,1,20,47781.0,610,8,-122.42,2018
98,1,5,71489.0,208,14,138.687,2018
99,1,18,49749.0,1175,9,-121.891,2018
100,1,20,31688.0,671,24,139.759,2018
101,1,21,49440.0,1000,6,-122.124,2018
102,0,18,57631.0,1512,71,-122.083,2018
103,1,18,64137.0,1187,8,-83.7312,2018
104,0,19,295703.0,1041,9,-122.42,2018
105,1,20,48987.0,700,24,-73.714,2018
106,0,27,158050.0,293,6,-122.16,2018
107,1,20,52515.0,630,56,-80.8431,2018
108,1,10,33594.0,2072,7,-73.714,2019
109,1,18,16653.0,952,3,-73.714,2019
110,1,7,68394.0,1196,8,-73.714,2019
111,1,34,86479.0,889,2091,-122.032,2019
112,1,15,25068.0,1001,7,-73.714,2019
113,1,20,78043.0,294,9,-122.178,2019
114,1,27,147199.0,746,72,-78.7812,2019
115,1,24,41898.0,726,3,139.759,2019
116,0,20,61351.0,253,0,-76.7241,2019
117,1,15,20460.0,1587,11,-74.006,2019
118,1,12,68394.0,1481,12,-73.714,2019
119,0,20,35800.0,400,2,-74.481,2019
120,1,13,40846.0,1131,4,-73.714,2019
121,1,19,32177.0,1118,17,-73.714,2019
122,1,26,74985.0,291,2,5.70753,2019
123,1,21,41845.0,1763,5,-110.975,2019
124,1,7,40846.0,1040,3,-73.714,2019
125,0,20,74399.0,571,28,-84.3903,2019
126,1,20,40173.0,756,4,-121.891,2019
127,0,14,51956.0,525,101,-122.083,2019
128,1,10,39244.0,412,0,-122.271,2019
129,0,15,39068.0,133,18,-121.907,2019
130,0,20,34546.0,412,4,-73.714,2019
131,1,18,57650.0,774,5,-84.3903,2019
132,0,20,64244.0,573,3,-122.036,2019
133,1,9,21974.0,718,4,-121.989,2019
134,1,20,31757.0,700,9,-73.714,2019
135,0,26,109657.0,336,3,-122.33,2019
136,1,20,65778.0,903,14,37.6175,2019
137,1,19,88713.0,1050,5,-122.178,2019
138,1,13,75709.0,2819,60,-95.4173,2019
139,1,20,83725.0,328,25,-123.114,2019
140,1,20,41084.0,313,10,-121.955,2019
141,1,25,63353.0,452,3,-93.2655,2019
142,1,20,73733.0,762,10,-6.26027,2019
143,1,20,51565.0,1099,25,-74.006,2019
144,1,20,189250.0,270,5,-118.396,2019
145,1,21,65282.0,798,27,-122.083,2019
146,1,20,48089.0,1866,24,-73.714,2019
147,1,20,64786.0,687,6,-6.26027,2019
148,1,27,29289.0,1537,5,-122.124,2019
149,1,28,60939.0,720,7,11.0038,2019
150,0,20,66279.0,564,9,-74.4426,2019
151,1,20,46725.0,914,6,-122.16,2019
152,1,24,43803.0,371,376,-122.192,2019
153,1,10,35455.0,799,9,-71.3967,2019
154,1,20,51768.0,298,9,-104.985,2019
155,1,20,73778.0,497,0,-122.178,2019
156,1,20,64896.0,671,5,-121.891,2019
157,1,20,22553.0,1240,4,-74.006,2019
158,1,17,38934.0,979,2,-73.714,2019
159,1,7,57813.0,1618,6,-121.891,2019
160,0,24,92871.0,368,9,8.58309,2019
161,1,20,74914.0,354,7,-73.714,2019
162,0,20,33178.0,270,9,-122.083,2019
163,0,17,127830.0,1537,157,-122.33,2019
