,patent_year,patent_firstnamed_assignee_latitude,patent_firstnamed_assignee_longitude,patent_firstnamed_inventor_latitude,patent_firstnamed_inventor_longitude,patent_num_cited_by_us_patents,patent_num_combined_citations,patent_num_foreign_citations,patent_num_us_application_citations,patent_num_us_patent_citations,patent_num_claims,detail_desc_length,patent_processing_time,patent_average_processing_time
0,2018,37.56,-122.269,37.4863,-122.233,0,128,8,102,18,21,149708.0,538,871.0
1,2018,35.6928,138.687,35.6928,138.687,1,15,10,2,3,6,30232.0,628,867.0
2,2018,41.1265,-73.714,44.0678,-92.7551,2,30,0,18,12,19,62615.0,943,1034.0
3,2018,41.1265,-73.714,41.3348,-73.5712,0,10,0,7,3,14,20517.0,775,988.0
4,2018,30.2711,-97.7437,30.2711,-97.7437,6,4,0,2,2,30,33379.0,145,894.0
5,2018,35.6928,138.687,35.6928,138.687,1,13,10,3,0,4,32981.0,649,1336.0
6,2018,35.6432,139.74,33.6857,-117.826,3,16,0,10,6,20,10986.0,482,801.0
7,2018,41.1265,-73.714,41.2709,-73.7776,8,12,1,10,1,19,44078.0,1089,1034.0
8,2018,47.6694,-122.124,37.3894,-122.083,3,31,2,21,8,20,28604.0,1306,1227.0
9,2018,37.3541,-121.955,45.5229,-122.99,3,8,1,5,2,25,48686.0,658,988.0
10,2018,42.2682,-83.7312,42.2682,-83.7312,3,18,0,11,7,21,36944.0,1098,1027.0
11,2018,37.4443,-122.16,37.779,-122.42,29,4,0,4,0,20,26725.0,483,992.0
12,2018,41.1265,-73.714,35.8243,-78.83,1,8,0,8,0,15,34468.0,1303,1077.0
13,2018,41.9759,-91.6704,42.0268,-93.617,10,4,0,2,2,18,62833.0,523,1062.0
14,2018,42.1711,-87.8445,40.8617,-89.6778,2,17,1,13,3,20,19060.0,1406,1227.0
15,2018,49.5978,11.0038,49.5978,11.0038,21,9,0,9,0,20,37845.0,362,907.0
16,2018,40.6834,-74.4426,42.3959,-71.1787,10,2,0,2,0,20,44198.0,412,920.0
17,2018,41.1265,-73.714,35.7325,-78.8505,1,32,0,14,18,14,65636.0,1344,1077.0
18,2018,40.7127,-74.006,40.2244,-105.271,48,56,3,46,7,42,386657.0,484,947.0
19,2018,49.5978,11.0038,40.7856,-74.0093,6,13,0,5,8,20,38035.0,438,900.0
20,2018,38.9343,-77.1776,33.1507,-96.8236,29,11,0,11,0,20,70303.0,168,894.0
21,2018,36.3496,127.385,36.3496,127.385,3,15,4,11,0,17,21181.0,704,940.0
22,2018,37.56,-122.269,37.4863,-122.233,22,129,8,103,18,21,149708.0,594,1336.0
23,2018,32.7174,-117.163,37.3362,-121.891,1,11,1,6,4,28,101002.0,1225,1034.0
24,2018,32.1656,34.8469,32.1656,34.8469,10,4,0,4,0,7,31234.0,715,1161.0
25,2018,47.6038,-122.33,48.6482,-118.738,6,34,0,30,4,22,40614.0,1789,1106.0
26,2018,35.6828,139.759,37.5841,-122.366,1,88,8,45,35,21,41387.0,445,828.0
27,2018,41.1265,-73.714,35.7883,-78.7812,0,13,4,5,4,1,46677.0,155,873.0
28,2018,33.9804,-81.2374,34.0007,-81.0343,3,10,0,10,0,22,56533.0,768,996.0
29,2018,37.4443,-122.16,37.3791,-122.117,26,3,0,3,0,24,79934.0,309,1346.0
30,2018,51.4393,5.47863,41.8012,-88.0748,28,6,2,1,3,17,97474.0,468,1011.0
31,2018,35.6928,138.687,35.6928,138.687,2,15,11,4,0,3,19295.0,704,1137.0
32,2018,39.1399,-77.1929,38.895,-77.0365,23,9,0,6,3,21,93747.0,333,1082.0
33,2018,42.3751,-71.1056,42.3876,-71.0995,5,7,0,4,3,27,54841.0,349,947.0
34,2018,37.3894,-122.083,37.3791,-122.117,1,5,0,3,2,15,34171.0,1720,1176.0
35,2018,29.7589,-95.3677,29.6197,-95.6349,35,7,0,5,2,21,69488.0,426,1346.0
36,2018,37.3362,-121.891,37.3362,-121.891,2,217,8,120,89,21,57910.0,595,942.0
37,2018,37.3362,-121.891,61.2163,-149.895,5,13,0,10,3,19,56865.0,1055,1025.0
38,2018,41.1265,-73.714,35.7883,-78.7812,0,13,4,5,4,1,46677.0,169,873.0
39,2018,41.1265,-73.714,35.7325,-78.8505,2,32,0,14,18,6,65637.0,924,996.0
40,2018,37.3362,-121.891,37.3791,-122.117,10,11,0,7,4,19,122907.0,1359,1698.0
41,2018,47.6694,-122.124,47.6038,-122.33,4,17,1,13,3,20,58712.0,1367,1227.0
42,2018,50.6089,10.3846,31.2323,121.469,5,18,0,9,9,20,37683.0,1264,1291.0
43,2018,42.2803,-71.2361,42.3756,-71.2358,0,74,0,54,20,20,71364.0,439,1346.0
44,2018,37.779,-122.42,37.779,-122.42,1,5,0,5,0,20,95041.0,825,1222.0
45,2018,39.6482,-104.988,38.8051,-77.047,5,24,0,10,14,20,51725.0,218,898.0
46,2018,42.3603,-71.0583,30.2711,-97.7437,2,16,1,12,3,30,58105.0,269,947.0
47,2018,35.6928,138.687,35.6928,138.687,3,12,9,3,0,6,24377.0,727,1137.0
48,2018,37.4283,-121.907,37.4283,-121.907,20,17,0,14,3,19,42062.0,371,900.0
49,2018,39.8367,-105.037,39.8006,-105.081,5,6,0,5,1,18,33772.0,666,940.0
50,2018,37.3362,-121.891,37.3362,-121.891,0,232,8,130,94,19,35637.0,622,942.0
51,2018,37.4443,-122.16,32.1562,34.893,0,2,0,1,1,20,51204.0,1069,1025.0
52,2018,30.0799,-95.4173,40.6834,-74.4426,6,339,17,102,220,10,75714.0,2693,1231.0
53,2018,37.3541,-121.955,45.5229,-122.99,0,17,0,10,7,25,49509.0,1558,1077.0
54,2018,40.7127,-74.006,-37.8142,144.963,0,11,0,7,4,14,65039.0,1300,1025.0
55,2018,35.6928,138.687,35.6928,138.687,5,21,10,11,0,11,71416.0,721,851.0
56,2018,35.6928,138.687,35.6928,138.687,2,13,6,5,2,13,52756.0,718,851.0
57,2018,37.3362,-121.891,37.3362,-121.891,4,119,2,82,35,20,29215.0,853,988.0
58,2018,37.452,-122.178,37.4863,-122.233,0,3,0,1,2,20,91351.0,363,947.0
59,2018,41.1265,-73.714,30.2711,-97.7437,1,23,0,10,13,17,31184.0,1111,1034.0
60,2018,37.779,-122.42,37.7648,-121.954,1,39,0,29,10,20,84338.0,334,702.0
61,2018,47.6038,-122.33,37.3362,-121.891,20,7,0,6,1,20,48499.0,876,996.0
62,2018,41.1265,-73.714,12.9768,77.5901,5,6,1,3,2,16,34171.0,1044,1034.0
63,2018,37.9735,-122.531,37.779,-122.42,6,6,0,3,3,16,97666.0,963,996.0
64,2018,37.4283,-121.907,37.4283,-121.907,17,24,0,18,6,19,36993.0,410,900.0
65,2018,39.7683,-86.1583,39.7683,-86.1583,12,8,6,2,0,21,91479.0,3057,1246.0
66,2018,39.5261,-119.813,47.6038,-122.33,16,76,5,51,20,22,152898.0,1569,1227.0
67,2018,35.6928,138.687,35.6928,138.687,1,16,12,3,1,9,36292.0,749,1173.0
68,2018,37.452,-122.178,41.8878,-87.7888,21,10,0,6,4,16,72560.0,873,988.0
69,2018,40.7127,-74.006,44.8015,-63.7297,8,5,0,5,0,12,32374.0,866,996.0
70,2018,43.4556,142.467,37.3362,-121.891,0,7,0,6,1,18,35490.0,1083,1034.0
71,2018,29.7589,-95.3677,29.6197,-95.6349,32,10,0,8,2,19,71746.0,400,1346.0
72,2018,48.8115,-87.2627,43.4513,-80.4928,40,107,5,64,38,24,82325.0,319,1346.0
73,2018,41.8756,-87.6244,42.0447,-87.693,9,5,0,4,1,20,42389.0,334,947.0
74,2018,49.5978,11.0038,40.2973,-74.7296,0,14,0,6,8,32,29202.0,608,900.0
75,2018,41.1265,-73.714,44.0234,-92.463,1,42,0,29,13,11,40064.0,1475,1077.0
76,2018,40.7127,-74.006,38.8904,-77.0842,3,31,0,16,15,20,39812.0,811,996.0
77,2018,34.1476,-118.144,34.1476,-118.144,4,11,2,9,0,42,83379.0,874,1222.0
78,2018,35.6928,138.687,35.6928,138.687,0,19,8,7,4,10,27659.0,998,1137.0
79,2018,37.779,-122.42,43.1573,-77.6152,0,21,6,9,6,10,34549.0,777,852.0
80,2018,41.1265,-73.714,44.0234,-92.463,2,42,0,29,13,4,40061.0,1302,1034.0
81,2018,37.779,-122.42,37.779,-122.42,12,28,0,25,3,19,136235.0,1070,1034.0
82,2018,35.7883,-78.7812,35.7325,-78.8505,13,1,0,0,1,29,150378.0,445,1346.0
83,2018,47.6694,-122.124,52.2055,0.118664,2,4,0,1,3,20,53405.0,1491,1227.0
84,2018,37.452,-122.178,37.3229,-122.032,8,5,0,5,0,20,53203.0,782,988.0
85,2018,41.1265,-73.714,37.3362,-121.891,0,17,0,9,8,8,42024.0,895,996.0
86,2018,47.6144,-122.192,47.5766,-122.228,1,907,36,350,521,12,35742.0,844,1252.0
87,2018,35.6928,138.687,35.6928,138.687,0,14,9,5,0,13,33445.0,1006,1034.0
88,2018,41.1265,-73.714,40.7127,-74.006,5,11,0,4,7,15,71660.0,1030,988.0
89,2018,42.1287,-87.8265,42.217,-88.0495,7,3,0,1,2,20,91787.0,417,1346.0
90,2018,41.1265,-73.714,35.7883,-78.7812,2,27,2,16,9,7,46139.0,1043,996.0
91,2018,37.3894,-122.083,37.7652,-122.242,5,59,2,46,11,31,116043.0,775,996.0
92,2018,38.9343,-77.1776,30.5955,-96.3071,31,34,0,30,4,18,88748.0,264,1240.0
93,2018,37.4443,-122.16,37.4283,-121.907,0,3,0,3,0,20,25267.0,551,1346.0
94,2018,41.1265,-73.714,35.6492,139.813,0,18,1,13,4,18,17351.0,1079,917.0
95,2018,37.2633,127.029,37.452,-122.178,10,118,38,60,20,20,76248.0,929,996.0
96,2018,37.3894,-122.083,37.3894,-122.083,43,51,1,42,8,25,55732.0,1546,1077.0
97,2018,37.779,-122.42,37.6905,-122.473,2,10,0,8,2,20,47781.0,610,947.0
98,2018,35.6928,138.687,35.6928,138.687,1,28,14,14,0,5,71489.0,208,842.0
99,2018,37.3362,-121.891,45.2092,5.7812,2,14,0,9,5,18,49749.0,1175,1291.0
100,2018,35.6828,139.759,35.6828,139.759,4,40,7,24,9,20,31688.0,671,1113.0
101,2018,47.6694,-122.124,37.5165,-122.294,3,6,0,6,0,21,49440.0,1000,996.0
102,2018,37.3894,-122.083,37.5483,-121.989,22,97,0,71,26,18,57631.0,1512,1424.0
103,2018,42.2682,-83.7312,42.2682,-83.7312,0,9,1,8,0,18,64137.0,1187,1341.0
104,2018,37.779,-122.42,37.779,-122.42,10,17,0,9,8,19,295703.0,1041,1252.0
105,2018,41.1265,-73.714,42.4342,-71.6098,5,41,0,24,17,20,48987.0,700,947.0
106,2018,37.4443,-122.16,37.3791,-122.117,13,8,0,6,2,27,158050.0,293,1240.0
107,2018,35.2272,-80.8431,17.3606,78.4741,3,61,0,56,5,20,52515.0,630,947.0
108,2019,41.1265,-73.714,41.2709,-73.7776,1,14,1,7,6,10,33594.0,2072,1412.0
109,2019,41.1265,-73.714,39.9062,116.391,0,10,0,3,7,18,16653.0,952,996.0
110,2019,41.1265,-73.714,44.0678,-92.7551,0,27,2,8,17,7,68394.0,1196,1034.0
111,2019,37.3229,-122.032,29.976,-90.0782,140,4728,548,2091,2089,34,86479.0,889,996.0
112,2019,41.1265,-73.714,40.0722,-105.508,2,15,0,7,8,15,25068.0,1001,996.0
113,2019,37.452,-122.178,37.5573,-122.363,0,15,5,9,1,20,78043.0,294,894.0
114,2019,35.7883,-78.7812,35.7325,-78.8505,13,163,3,72,88,27,147199.0,746,1336.0
115,2019,35.6828,139.759,39.9062,116.391,1,3,0,3,0,24,41898.0,726,828.0
116,2019,39.1929,-76.7241,45.4279,-75.7111,16,0,0,0,0,20,61351.0,253,773.0
